Black Body Radiation Experiment Wed, Jan 24, 2024 4:32 PM
Sensor Position (Degrees)	Light Intensity (Volts)
0.00000	0.01478
0.00000	0.00898
0.00000	0.01333
0.00000	0.01188
0.00000	0.01285
0.00000	0.01349
0.00000	0.01365
0.00000	0.01446
0.00000	0.01269
0.00000	0.01559
0.00000	0.01607
0.00000	0.01156
0.00000	0.00946
0.00000	0.01236
0.00000	0.01414
0.00000	0.01639
0.00000	0.01478
0.00000	0.01091
0.00000	0.01156
0.00000	0.01285
0.00000	0.01478
0.00000	0.01011
0.00000	0.01236
0.00000	0.00995
0.00000	0.01301
0.00000	0.00995
0.00000	0.01220
0.00000	0.01188
0.00000	0.01285
0.00000	0.01301
0.00000	0.01301
0.00000	0.01220
0.00000	0.01252
0.00000	0.01091
0.00000	0.01397
0.00000	0.01252
0.00000	0.01365
0.00000	0.00898
0.00000	0.01124
0.00000	0.01301
0.00000	0.01172
0.00000	0.01414
0.00000	0.01301
0.00000	0.01059
0.00000	0.01220
0.00000	0.01333
0.00000	0.01301
0.00000	0.01703
0.00000	0.01011
0.00000	0.01091
0.00000	0.01140
0.00000	0.00914
0.00000	0.01011
0.00000	0.00817
0.00000	0.01059
0.00000	0.01204
0.00000	0.01075
0.00000	0.01559
0.00000	0.01381
0.00000	0.01252
0.00000	0.01397
0.00000	0.01285
0.00000	0.00962
0.00000	0.01607
0.00000	0.01365
0.00000	0.01526
0.00000	0.01446
0.00000	0.01172
0.00000	0.01301
0.00000	0.01252
0.00000	0.01446
0.00000	0.01381
0.00000	0.01252
0.00000	0.01059
0.00000	0.01333
0.00000	0.00995
0.00000	0.01075
0.00000	0.01236
0.00000	0.01011
0.00000	0.01397
0.00000	0.01091
0.00000	0.01301
0.00000	0.01607
0.00000	0.01204
0.00000	0.00850
0.00000	0.01204
0.00000	0.01027
0.00000	0.01349
0.00000	0.01301
0.00000	0.01140
0.00000	0.01124
0.00000	0.01269
0.00000	0.01140
0.00000	0.01285
0.00000	0.01349
0.00000	0.01591
0.00000	0.01188
0.00000	0.01011
0.00000	0.01043
0.00000	0.01430
0.00000	0.00898
0.00000	0.01156
0.00000	0.01414
0.00000	0.01107
0.00000	0.01172
0.00000	0.01091
0.01033	0.01397
0.01033	0.01526
0.01033	0.00866
0.01033	0.01397
0.01033	0.01269
0.01033	0.01156
0.01033	0.01172
0.01033	0.01414
0.01033	0.00979
0.01033	0.01365
0.01033	0.01655
0.01033	0.01397
0.01033	0.01252
0.01033	0.01140
0.01033	0.01027
0.01033	0.01027
0.01033	0.01430
0.01033	0.01381
0.03100	0.01075
0.06200	0.01333
0.09300	0.01124
0.09300	0.00898
0.09300	0.01172
0.09300	0.01188
0.09300	0.01269
0.09300	0.01333
0.10333	0.01059
0.11366	0.00995
0.15500	0.01381
0.19633	0.01365
0.20666	0.00817
0.30999	0.01301
0.37199	0.01333
0.41332	0.01236
0.56832	0.01091
0.69231	0.01559
0.73364	0.01301
0.96097	0.01188
1.11597	0.01269
1.17796	0.01349
1.39496	0.01591
1.52929	0.01703
1.59128	0.01107
1.82894	0.01059
2.00460	0.01156
2.07694	0.01107
2.30426	0.01269
2.43859	0.00995
2.50059	0.00785
2.71758	0.01236
2.86224	0.01220
3.00691	0.00995
3.23423	0.01462
3.38923	0.01204
3.45123	0.01575
3.68889	0.01059
3.84388	0.01107
3.93688	0.00866
4.16420	0.01075
4.29853	0.01269
4.38120	0.01607
4.54653	0.01607
4.64986	0.01349
4.69119	0.01414
4.84618	0.01204
4.95985	0.01397
4.99084	0.01365
5.14584	0.01285
5.28017	0.01317
5.32150	0.01575
5.48683	0.01430
5.61083	0.01204
5.66249	0.01285
5.88982	0.01301
6.02415	0.01430
6.07581	0.01397
6.32380	0.01172
6.55113	0.01381
6.64413	0.01140
6.97478	0.01091
7.21244	0.01043
7.33644	0.01333
7.68776	0.01301
7.95642	0.01252
8.05975	0.01317
8.40074	0.00995
8.66940	0.01269
8.78306	0.01172
9.10338	0.01285
9.33071	0.01462
9.42371	0.01252
9.75436	0.01269
9.94036	0.01204
10.01269	0.00962
10.27101	0.01124
10.38468	0.00914
10.42601	0.01462
10.57067	0.01414
10.65334	0.01124
10.70500	0.01414
10.84966	0.01172
10.94266	0.01526
10.98399	0.01269
11.10799	0.00995
11.20099	0.01027
11.24232	0.01172
11.38698	0.01301
11.47998	0.01011
11.52131	0.01285
11.68664	0.01043
11.82097	0.01526
11.87263	0.01043
12.03796	0.01542
12.17229	0.01365
12.21362	0.01414
12.42028	0.01285
12.55461	0.01124
12.59594	0.01349
12.74060	0.01317
12.88527	0.01414
12.91627	0.01124
13.07126	0.01526
13.18492	0.01317
13.22626	0.01301
13.35025	0.01478
13.45358	0.01027
13.49491	0.01414
13.67058	0.01430
13.79457	0.01285
13.84624	0.01252
14.00123	0.01510
14.11489	0.01107
14.16656	0.01575
14.34222	0.01365
14.45588	0.01285
14.50755	0.01559
14.70388	0.01575
14.82787	0.01462
14.86920	0.01526
15.02420	0.01397
15.12753	0.01687
15.17920	0.01446
15.30319	0.01317
15.41685	0.01269
15.45819	0.01430
15.62351	0.01559
15.72684	0.01252
15.77851	0.01365
15.90251	0.01236
16.00584	0.01494
16.03684	0.01671
16.15050	0.01655
16.22283	0.01365
16.26416	0.01220
16.38816	0.01575
16.48115	0.01510
16.52249	0.01252
16.64648	0.01269
16.74981	0.01542
16.79115	0.01220
16.91514	0.01832
17.01847	0.01897
17.07014	0.01478
17.23546	0.01559
17.31813	0.01365
17.36979	0.01720
17.51446	0.01349
17.60745	0.02058
17.65912	0.01301
17.86578	0.01736
17.97944	0.01897
18.03111	0.01768
18.18610	0.02074
18.29976	0.02171
18.36176	0.01752
18.63042	0.01961
18.76475	0.02042
18.81642	0.02412
19.00241	0.01816
19.11607	0.02606
19.19874	0.02638
19.37440	0.03121
19.45706	0.02960
19.48806	0.03202
19.57073	0.04007
19.60172	0.03798
19.64306	0.04023
19.75672	0.04442
19.83938	0.04909
19.87038	0.05054
20.01504	0.05441
20.10804	0.05457
20.23204	0.05699
20.40770	0.06520
20.49036	0.07277
20.57303	0.07793
20.75902	0.09549
20.83135	0.10580
20.91402	0.11611
21.05868	0.14156
21.12068	0.15203
21.17234	0.15944
21.25501	0.19021
21.30667	0.20471
21.37900	0.21696
21.54433	0.25224
21.62699	0.27189
21.73032	0.28848
21.92665	0.33714
22.04032	0.37564
22.15398	0.41333
22.41230	0.48744
22.53630	0.51708
22.64996	0.54801
22.84629	0.58748
22.97029	0.59312
23.06328	0.59682
23.26994	0.58716
23.38361	0.56895
23.42494	0.56267
23.55927	0.52916
23.66260	0.50274
23.71426	0.49050
23.84859	0.44974
23.98292	0.42252
24.02425	0.40029
24.18958	0.35437
24.30324	0.32602
24.35491	0.31362
24.48924	0.26545
24.60290	0.23581
24.68557	0.22098
24.86123	0.18087
24.97489	0.15655
24.99556	0.14946
25.15055	0.12030
25.28488	0.10548
25.34688	0.09726
25.49154	0.08308
25.60520	0.07181
25.65687	0.06907
25.83253	0.05505
25.95653	0.05264
26.00819	0.05183
26.20452	0.04378
26.33885	0.04474
26.40085	0.03733
26.54551	0.03105
26.65917	0.03314
26.72117	0.03347
26.88650	0.02606
26.98983	0.02590
27.03116	0.02622
27.19649	0.02316
27.32048	0.01848
27.38248	0.02026
27.54781	0.02138
27.69247	0.01752
27.73381	0.02187
27.93013	0.01655
28.07479	0.01961
28.14713	0.02235
28.32279	0.01768
28.47778	0.01623
28.56045	0.01865
28.77744	0.01623
28.91177	0.01623
28.99443	0.01269
29.20109	0.01865
29.32509	0.01687
29.37675	0.01365
29.56275	0.01381
29.64541	0.01768
29.68674	0.01430
29.83141	0.01655
29.94507	0.01800
29.99673	0.01865
30.17240	0.01671
