Black Body Radiation Experiment Wed, Jan 24, 2024 4:33 PM
Sensor Position (Degrees)	Light Intensity (Volts)
0.00000	0.01317
0.00000	0.01285
0.00000	0.01397
0.00000	0.01204
0.00000	0.01011
0.00000	0.01397
0.00000	0.01349
0.00000	0.01269
0.00000	0.01446
0.00000	0.01542
0.00000	0.01349
0.00000	0.01542
0.00000	0.01252
0.00000	0.01381
0.00000	0.01059
0.00000	0.01687
0.00000	0.01236
0.00000	0.00979
0.00000	0.01575
0.00000	0.01349
0.00000	0.01220
0.00000	0.01559
0.00000	0.01269
0.00000	0.01269
0.00000	0.01462
0.00000	0.01365
0.00000	0.01430
0.00000	0.01285
0.00000	0.01269
0.00000	0.01172
0.00000	0.01301
0.00000	0.01204
0.00000	0.01124
0.00000	0.01269
0.00000	0.01720
0.00000	0.01269
0.00000	0.01317
0.00000	0.01365
0.00000	0.01204
0.00000	0.01317
0.00000	0.01703
0.00000	0.01655
0.00000	0.01365
0.00000	0.01156
0.00000	0.01188
0.00000	0.01269
0.00000	0.00914
0.00000	0.01381
0.00000	0.01317
0.00000	0.01285
0.00000	0.01430
0.00000	0.01091
0.00000	0.01414
0.00000	0.01107
0.00000	0.01575
0.00000	0.01623
0.00000	0.01285
0.00000	0.01043
0.00000	0.01446
0.00000	0.01156
0.00000	0.01494
0.00000	0.01220
0.00000	0.01011
0.00000	0.01252
0.00000	0.00946
0.00000	0.01317
0.00000	0.01414
0.00000	0.01172
0.00000	0.01381
0.00000	0.01301
0.00000	0.01236
0.00000	0.01349
0.00000	0.01365
0.00000	0.01494
0.00000	0.01236
0.00000	0.01285
0.00000	0.01043
0.00000	0.01317
0.00000	0.01671
0.00000	0.01285
0.00000	0.01091
0.00000	0.01172
0.00000	0.01333
0.00000	0.01317
0.00000	0.01107
0.00000	0.01172
0.00000	0.01591
0.00000	0.01236
0.00000	0.01204
0.00000	0.01462
0.02067	0.01768
0.05167	0.01172
0.08266	0.01478
0.12400	0.00946
0.18599	0.00946
0.21699	0.01414
0.22733	0.01011
0.27899	0.01043
0.30999	0.01414
0.32032	0.01397
0.37199	0.01430
0.40299	0.00946
0.42365	0.01156
0.45465	0.01607
0.48565	0.01494
0.49598	0.01107
0.53732	0.01381
0.56832	0.01301
0.57865	0.01156
0.63031	0.01349
0.67165	0.01333
0.68198	0.01510
0.70264	0.01301
0.70264	0.01575
0.70264	0.01043
0.70264	0.00962
0.70264	0.01430
0.70264	0.01446
0.70264	0.01317
0.70264	0.01687
0.70264	0.00946
0.70264	0.01462
0.71298	0.01623
0.71298	0.01075
0.71298	0.01526
0.71298	0.01623
0.71298	0.01301
0.71298	0.01365
0.71298	0.01446
0.72331	0.01478
0.74398	0.01381
0.78531	0.01655
0.81631	0.01252
0.88864	0.00946
0.95064	0.01397
0.96097	0.00979
1.03330	0.01349
1.09530	0.01236
1.12630	0.01381
1.20896	0.01607
1.26063	0.01236
1.28129	0.01027
1.38462	0.00995
1.45695	0.01526
1.48795	0.01639
1.62228	0.01349
1.71528	0.01059
1.76695	0.01027
1.90127	0.01365
1.99427	0.01752
2.04594	0.01333
2.16993	0.01462
2.26293	0.01043
2.28360	0.01140
2.38693	0.01542
2.46959	0.01703
2.50059	0.01252
2.59359	0.01430
2.65558	0.01188
2.67625	0.01575
2.75891	0.01462
2.81058	0.01172
2.83125	0.01381
2.88291	0.01317
2.92424	0.01349
2.94491	0.01397
2.99657	0.01929
3.04824	0.01430
3.06890	0.01381
3.17223	0.01736
3.23423	0.01414
3.26523	0.01414
3.36856	0.01559
3.42023	0.01559
3.45123	0.01059
3.56489	0.00930
3.63722	0.00882
3.68889	0.01091
3.82321	0.01236
