Sensor_Position 	Light_Intensity
0	-0.0437
0	-0.04193
0	-0.04547
0	-0.04434
0	-0.04402
0	-0.04048
0	-0.04418
0	-0.04128
0	-0.0437
0	-0.04595
0	-0.04773
0	-0.04483
0	-0.04322
0	-0.04756
0	-0.0445
0	-0.04692
0	-0.04096
0	-0.04386
0	-0.04531
0	-0.0416
0	-0.04209
0	-0.0416
0	-0.04483
0	-0.04128
0	-0.03935
0	-0.0408
0	-0.04612
0	-0.04628
0	-0.04483
0	-0.04402
0	-0.04434
0	-0.04241
0	-0.04354
0	-0.04322
0	-0.04563
0	-0.04676
0	-0.04483
0	-0.04821
0	-0.04724
0	-0.04467
0	-0.04064
0	-0.04225
0	-0.04257
0	-0.04128
0	-0.0466
0	-0.0466
0	-0.04225
0	-0.03693
0	-0.0437
0	-0.04434
0	-0.04756
0	-0.04531
0	-0.04289
0	-0.03999
0	-0.04434
0	-0.04128
0	-0.04241
0	-0.04144
0	-0.04628
0	-0.04064
0	-0.04032
0	-0.04209
0	-0.0416
0	-0.03806
0	-0.03854
0	-0.04257
0	-0.04386
0	-0.04225
0	-0.04225
0	-0.04193
0	-0.04354
0	-0.04112
0	-0.03774
0	-0.04257
0	-0.04144
0	-0.04257
0	-0.03742
0	-0.04338
0	-0.04531
0	-0.03887
0	-0.04209
0	-0.04144
0	-0.04418
0	-0.04032
0	-0.04354
0	-0.04015
0	-0.04241
0	-0.03919
0	-0.04144
0	-0.0437
0	-0.04241
0	-0.04402
0	-0.04128
0	-0.0416
0.01033	-0.04628
0.01033	-0.03629
0.01033	-0.03822
0.02067	-0.04386
0.02067	-0.04112
0.04133	-0.03903
0.05167	-0.03758
0.093	-0.04692
0.124	-0.04257
0.155	-0.04354
0.23766	-0.04032
0.30999	-0.03854
0.36166	-0.04193
0.52698	-0.04064
0.67165	-0.03838
0.76464	-0.04048
1.01264	-0.04128
1.20896	-0.03822
1.32263	-0.0379
1.57062	-0.04128
1.74628	-0.03983
1.82894	-0.0416
2.13893	-0.0379
2.32493	-0.04918
2.45926	-0.0437
2.75891	-0.04853
2.93458	-0.04209
3.00691	-0.04144
3.24457	-0.03742
3.42023	-0.03854
3.51322	-0.03854
3.80255	-0.03403
3.92654	-0.03854
4.02987	-0.03629
4.49486	-0.03983
4.75319	-0.03887
4.82552	-0.04499
5.18717	-0.04064
5.45583	-0.03677
5.61083	-0.04064
6.03448	-0.04354
6.3238	-0.03838
6.49946	-0.04048
6.92312	-0.03564
7.20211	-0.04241
7.3571	-0.03838
7.78076	-0.03645
8.08042	-0.04241
8.24574	-0.03806
8.74173	-0.03419
9.00005	-0.04209
9.17571	-0.03951
9.72336	-0.0387
10.08502	-0.03935
10.30201	-0.04499
10.75667	-0.03468
11.08732	-0.03983
11.23198	-0.03597
11.71764	-0.0379
12.11029	-0.0437
12.27562	-0.03854
12.8026	-0.03999
13.21592	-0.03758
13.39158	-0.04048
13.8979	-0.04048
14.20789	-0.04015
14.34222	-0.03419
14.83821	-0.04144
15.09653	-0.03597
15.22053	-0.03725
15.65451	-0.03677
15.87151	-0.03597
16.00584	-0.03371
16.37782	-0.03597
16.62582	-0.03258
16.88414	-0.02614
17.42146	-0.03452
17.67978	-0.02549
17.96911	-0.02501
18.45476	-0.01663
18.66142	-0.02034
18.83708	-0.01277
19.44673	-0.00246
19.82905	0.01091
20.14937	0.03073
20.61436	0.08115
20.83135	0.12739
21.05868	0.18442
21.60633	0.40657
21.82332	0.58523
22.12298	0.84749
22.58796	1.55552
22.87729	1.97389
23.15628	2.31397
23.62127	2.60057
23.87959	2.57076
