Sensor_Position	Light_Intensity
0	-0.02711
0	-0.02598
0	-0.02582
0	-0.02227
0	-0.02533
0	-0.02549
0	-0.02533
0	-0.02566
0	-0.02372
0	-0.02646
0	-0.02952
0	-0.03226
0	-0.02823
0	-0.02179
0	-0.02404
0	-0.02646
0	-0.02549
0	-0.02839
0	-0.02984
0	-0.02759
0	-0.02662
0	-0.02968
0	-0.02308
0	-0.02807
0	-0.0292
0	-0.02501
0	-0.02453
0	-0.02662
0	-0.02533
0	-0.02533
0	-0.02711
0	-0.02179
0	-0.02324
0	-0.02243
0	-0.02984
0	-0.02372
0	-0.02404
0	-0.02678
0	-0.02662
0	-0.03001
0	-0.02936
0	-0.03097
0	-0.02646
0	-0.02694
0	-0.02437
0	-0.02694
0	-0.02759
0	-0.02662
0	-0.02888
0	-0.02743
0	-0.02839
0	-0.02727
0	-0.03113
0	-0.02678
0	-0.02662
0	-0.02727
0	-0.02984
0	-0.02807
0	-0.03081
0	-0.03323
0	-0.02678
0	-0.02437
0	-0.02421
0	-0.02324
0	-0.02259
0	-0.02517
0	-0.02614
0	-0.02404
0	-0.02582
0	-0.02727
0	-0.02936
0	-0.02856
0	-0.02469
0	-0.03387
0	-0.02694
0	-0.02437
0	-0.02404
0	-0.02614
0	-0.02259
0	-0.02308
0	-0.02727
0	-0.02598
0	-0.02791
0	-0.02404
0	-0.02566
0	-0.02711
0	-0.02614
0	-0.03033
0	-0.02582
0	-0.03129
0	-0.02678
0	-0.03129
0	-0.02856
0	-0.02098
0	-0.02904
0	-0.02517
0	-0.02034
0	-0.0234
0	-0.02018
0	-0.02501
0	-0.0292
0	-0.02711
0	-0.02775
0	-0.02582
0	-0.02614
0	-0.02292
0	-0.03242
0	-0.02711
0	-0.02437
0	-0.02388
0	-0.02066
0	-0.02759
0	-0.02678
0.01033	-0.02566
0.062	-0.02453
0.124	-0.02614
0.155	-0.03017
0.27899	-0.02469
0.40299	-0.02791
0.46499	-0.02259
0.64065	-0.0205
0.76464	-0.02034
0.83697	-0.02711
1.08497	-0.02324
1.26063	-0.02276
1.35362	-0.02678
1.57062	-0.02598
1.73595	-0.02598
1.80828	-0.02163
2.0976	-0.02276
2.31459	-0.02839
2.41792	-0.02388
2.69692	-0.02324
2.87258	-0.02356
2.98624	-0.02856
3.29623	-0.02324
3.53389	-0.02276
3.65789	-0.02324
4.04021	-0.02243
4.3192	-0.02292
4.40186	-0.02823
4.74285	-0.01841
4.93918	-0.02308
5.03218	-0.02195
5.48683	-0.01712
5.78649	-0.02276
5.86915	-0.02549
6.4168	-0.02404
6.69579	-0.02115
6.81979	-0.02276
7.32611	-0.02243
7.59476	-0.02018
7.76009	-0.02872
8.24574	-0.0205
8.59707	-0.01776
