Black Body Radiation Experiment Wed, Jan 24, 2024 4:13 PM
Sensor Position (Degrees)	Light Intensity (Volts)
0.00000	-0.00938
0.00000	-0.00665
0.00000	-0.00858
0.00000	-0.00810
0.00000	-0.01228
0.00000	-0.00890
0.00000	-0.00761
0.00000	-0.00665
0.00000	-0.00826
0.00000	-0.01100
0.00000	-0.00971
0.00000	-0.00777
0.00000	-0.00761
0.00000	-0.01067
0.00000	-0.00987
0.00000	-0.01035
0.00000	-0.01228
0.00000	-0.01083
0.00000	-0.00649
0.00000	-0.00922
0.00000	-0.00971
0.00000	-0.00842
0.00000	-0.01132
0.00000	-0.01019
0.00000	-0.01261
0.00000	-0.00938
0.00000	-0.01083
0.00000	-0.01631
0.00000	-0.00971
0.00000	-0.00794
0.00000	-0.01035
0.00000	-0.00906
0.00000	-0.00794
0.00000	-0.00890
0.00000	-0.01132
0.00000	-0.00858
0.00000	-0.00842
0.00000	-0.00987
0.00000	-0.01309
0.00000	-0.01422
0.00000	-0.01196
0.00000	-0.00777
0.00000	-0.01003
0.00000	-0.00987
0.00000	-0.01100
0.00000	-0.00600
0.00000	-0.01067
0.00000	-0.00971
0.00000	-0.00826
0.00000	-0.00810
0.00000	-0.01180
0.00000	-0.01357
0.00000	-0.01277
0.00000	-0.01003
0.00000	-0.01051
0.00000	-0.00842
0.00000	-0.01003
0.00000	-0.00665
0.00000	-0.00391
0.00000	-0.00697
0.00000	-0.00745
0.00000	-0.01083
0.00000	-0.00858
0.00000	-0.01132
0.00000	-0.00890
0.00000	-0.01196
0.00000	-0.00810
0.00000	-0.01245
0.00000	-0.00858
0.00000	-0.01132
0.00000	-0.00874
0.00000	-0.01148
0.00000	-0.00987
0.00000	-0.01083
0.00000	-0.00810
0.00000	-0.00987
0.00000	-0.01116
0.00000	-0.00777
0.00000	-0.00761
0.00000	-0.00955
0.00000	-0.00987
0.00000	-0.01148
0.00000	-0.01196
0.00000	-0.01116
0.00000	-0.00842
0.00000	-0.00874
0.00000	-0.01083
0.00000	-0.00938
0.00000	-0.01100
0.00000	-0.00922
0.00000	-0.00665
0.00000	-0.00713
0.00000	-0.00649
0.00000	-0.01309
0.00000	-0.00890
0.00000	-0.01116
0.00000	-0.01051
0.00000	-0.00858
0.00000	-0.00858
0.00000	-0.00504
0.00000	-0.00922
0.00000	-0.00842
0.00000	-0.01164
0.00000	-0.01116
-0.01033	-0.01035
-0.01033	-0.00938
-0.01033	-0.00971
-0.01033	-0.00906
-0.01033	-0.00713
-0.01033	-0.00697
-0.01033	-0.00649
-0.01033	-0.01148
-0.01033	-0.00858
-0.01033	-0.01422
-0.01033	-0.00584
-0.01033	-0.00697
-0.01033	-0.00971
-0.01033	-0.00971
-0.01033	-0.01148
-0.01033	-0.01164
-0.01033	-0.01180
-0.01033	-0.01083
-0.01033	-0.01019
-0.01033	-0.00600
-0.01033	-0.00842
-0.01033	-0.00697
-0.01033	-0.01003
-0.01033	-0.00922
-0.01033	-0.00729
-0.02067	-0.00729
-0.04133	-0.00584
-0.04133	-0.00729
-0.04133	-0.01180
-0.04133	-0.01100
-0.04133	-0.01261
-0.04133	-0.01100
