Black Body Radiation Experiment Wed, Jan 24, 2024 4:14 PM
Sensor Position (Degrees)	Light Intensity (Volts)
0.00000	-0.00342
0.00000	-0.00938
0.00000	-0.00616
0.00000	-0.00745
0.00000	-0.00616
0.00000	-0.00987
0.00000	-0.00971
0.00000	-0.00826
0.00000	-0.00616
0.00000	-0.00520
0.00000	-0.00375
0.00000	-0.00214
0.00000	-0.00874
0.00000	-0.00729
0.00000	-0.00858
0.00000	-0.00777
0.00000	-0.00455
0.00000	-0.00858
0.00000	-0.00794
0.00000	-0.00987
0.00000	-0.00906
0.00000	-0.00681
0.00000	-0.00842
0.00000	-0.01083
0.00000	-0.00922
0.00000	-0.00826
0.00000	-0.00681
0.00000	-0.00632
0.00000	-0.00745
0.00000	-0.00971
0.00000	-0.00649
0.00000	-0.00584
0.00000	-0.00665
0.00000	-0.00794
0.00000	-0.00230
0.00000	-0.00858
0.00000	-0.00713
0.00000	-0.00713
0.00000	-0.00584
0.00000	-0.00439
0.00000	-0.00616
0.00000	-0.00987
0.00000	-0.00922
0.00000	-0.00987
0.00000	-0.00681
0.00000	-0.00552
0.00000	-0.00810
0.00000	-0.00246
0.00000	-0.00552
0.00000	-0.01003
0.00000	-0.00616
0.00000	-0.00777
0.00000	-0.00616
0.00000	-0.00729
0.00000	-0.00987
0.00000	-0.00955
0.00000	-0.00794
0.00000	-0.01067
0.00000	-0.00504
0.00000	-0.00697
0.00000	-0.00665
0.00000	-0.00665
0.00000	-0.01051
0.00000	-0.00971
0.00000	-0.00649
0.00000	-0.00649
0.00000	-0.00810
0.00000	-0.00520
0.00000	-0.00842
0.00000	-0.00842
0.00000	-0.00665
0.00000	-0.00407
0.00000	-0.00729
0.00000	-0.00600
0.00000	-0.00858
0.00000	-0.00552
0.00000	-0.00729
0.00000	-0.00922
0.01033	-0.00552
0.01033	-0.01051
0.01033	-0.00632
0.01033	-0.01003
0.01033	-0.00552
0.01033	-0.00375
0.01033	-0.00568
0.01033	-0.00794
0.01033	-0.00310
0.01033	-0.00552
0.01033	-0.00649
0.01033	-0.00826
0.02067	-0.00794
0.02067	-0.01083
0.02067	-0.00729
0.02067	-0.00729
0.02067	-0.01035
0.02067	-0.00874
0.02067	-0.00665
0.02067	-0.00906
0.02067	-0.00794
0.02067	-0.01100
0.02067	-0.00713
0.02067	-0.01051
0.02067	-0.00375
0.02067	-0.01100
0.02067	-0.00842
0.02067	-0.00197
0.02067	-0.01212
0.05167	-0.00536
0.09300	-0.00794
0.10333	-0.00890
0.19633	-0.00552
0.24799	-0.01357
0.28932	-0.00938
0.45465	-0.01132
0.56832	-0.00826
0.61998	-0.00649
0.74398	-0.00681
0.85764	-0.00632
0.91964	-0.00922
1.09530	-0.00874
1.18830	-0.00810
1.22963	-0.00471
1.33296	-0.00858
1.38462	-0.00761
1.41562	-0.00938
1.50862	-0.00858
1.58095	-0.00971
1.61195	-0.00906
1.73595	-0.00922
1.82894	-0.01003
1.85994	-0.00665
2.04594	-0.00971
2.15960	-0.00616
2.24226	-0.00632
2.37659	-0.00632
2.47992	-0.00681
2.54192	-0.00777
2.71758	-0.01212
2.86224	-0.01051
2.92424	-0.00487
3.11024	-0.00697
3.26523	-0.01003
3.34790	-0.00632
3.55456	-0.00890
3.68889	-0.01019
3.73022	-0.00697
3.93688	-0.00826
4.05054	-0.01164
4.11254	-0.00810
4.24687	-0.00584
4.32953	-0.00777
4.37086	-0.00504
4.51553	-0.00455
4.60852	-0.00761
4.67052	-0.00761
4.81518	-0.00729
4.88751	-0.01003
4.93918	-0.00423
5.08384	-0.00552
5.19751	-0.00681
5.23884	-0.00342
5.34217	-0.00874
5.44550	-0.00826
5.47650	-0.00729
5.61083	-0.00520
5.70382	-0.01003
5.73482	-0.00407
5.85882	-0.00616
5.93115	-0.01003
5.97248	-0.01164
6.09648	-0.00729
6.18947	-0.00584
6.24114	-0.00777
6.38580	-0.00858
6.49946	-0.00810
6.53046	-0.00729
6.67513	-0.00794
6.76812	-0.00632
6.80946	-0.01035
6.93345	-0.00632
7.06778	-0.00584
7.10911	-0.00810
7.22278	-0.00987
7.32611	-0.01067
7.37777	-0.00906
7.52243	-0.00616
7.60510	-0.00745
7.63610	-0.00987
7.77043	-0.00810
7.87376	-0.00745
7.91509	-0.00826
8.08042	-0.00649
8.17341	-0.00520
8.21474	-0.00423
8.34907	-0.00777
8.43174	-0.00423
8.48340	-0.00987
8.61773	-0.00616
8.71073	-0.01003
8.74173	-0.00729
8.87606	-0.00729
8.95872	-0.00681
9.01039	-0.00536
9.15505	-0.00504
9.22738	-0.00842
9.27905	-0.01051
9.37204	-0.00858
9.44437	-0.00568
9.48571	-0.00794
9.60970	-0.00536
9.70270	-0.00665
9.74403	-0.00439
9.89903	-0.00697
9.99202	-0.00600
10.05402	-0.01003
10.19868	-0.00777
10.25035	-0.00890
10.29168	-0.00874
10.40534	-0.00632
10.48801	-0.00616
10.52934	-0.00955
10.64300	-0.00568
10.71533	-0.00745
10.75667	-0.00423
10.84966	-0.01003
10.93233	-0.00858
10.97366	-0.01083
11.08732	-0.00745
11.18032	-0.00955
11.21132	-0.00955
11.30432	-0.00810
11.34565	-0.00536
11.36631	-0.00616
11.42831	-0.00745
11.46964	-0.00359
11.47998	-0.00761
11.53164	-0.00665
11.56264	-0.00794
11.58331	-0.00697
11.64530	-0.00616
11.68664	-0.00938
11.69697	-0.00697
11.72797	-0.00810
11.74864	-0.01180
11.75897	-0.00745
11.76930	-0.00649
11.76930	-0.00326
11.76930	-0.00568
11.76930	-0.00552
11.76930	-0.00681
11.76930	-0.00455
11.76930	-0.00504
11.76930	-0.00729
11.76930	-0.00471
11.76930	-0.00777
11.76930	-0.00455
11.76930	-0.00810
11.76930	-0.01325
11.76930	-0.00487
11.76930	-0.00471
11.76930	-0.00439
11.76930	-0.00455
11.77963	-0.00681
11.77963	-0.00439
11.80030	-0.01067
11.81063	-0.00794
11.86230	-0.00922
11.89330	-0.00681
11.90363	-0.00794
11.96563	-0.00665
12.01729	-0.01019
12.03796	-0.00826
12.07929	-0.01003
12.14129	-0.00504
12.17229	-0.00665
12.25495	-0.00487
12.32728	-0.01003
12.34795	-0.01003
12.48228	-0.00938
12.52361	-0.00681
12.56494	-0.00616
12.67861	-0.00842
12.74060	-0.00536
12.77160	-0.00955
12.85427	-0.00794
12.93693	-0.00407
12.96793	-0.00971
13.07126	-0.00471
13.12293	-0.01083
13.15392	-0.00584
13.21592	-0.00536
13.25725	-0.00761
13.26759	-0.00359
13.33992	-0.01051
13.39158	-0.00874
13.41225	-0.00278
13.48458	-0.00616
13.51558	-0.00487
13.52591	-0.00568
13.56725	-0.00729
13.59824	-0.00471
13.61891	-0.00181
13.66024	-0.00616
13.68091	-0.00729
13.69124	-0.00407
13.73257	-0.00600
13.76357	-0.00552
13.78424	-0.00600
13.84624	-0.00471
